date,experiment_id,agent_module,deck,opponent,n_matches,win_rate,kaggle_submission,notes
2026-07-02,001-baseline,agents.heuristic_agent,baseline_v1 (mono-Fire, no draw support),random_agent,200,0.415,exp001-heuristic,"Lost to random; >50% of matches decided by decking out, not combat"
2026-07-06,002-heuristic-v2,agents.heuristic_v2_agent,optimized_v2 (mono-Fire + draw support),random_agent,200,0.865,exp002-heuristic-v2,"Best-scoring submission so far -- recorded as baseline_423"
2026-07-06,003-deck-autoselect,agents.heuristic_v2_agent,best_v3 (mono-Water),random_agent,200,0.85,exp003-water-deck,"Water beats exp002 Fire deck head-to-head 57.3% (n=150) despite losing the full round-robin"
2026-07-06,004-agent-defensive,agents.heuristic_v3_agent,optimized_v2 (same deck as 002),random_agent,200,0.89,exp004-defensive-v3,"54.5% head-to-head vs exp002 agent, same deck"
2026-07-06,005-agent-search,agents.search_agent,optimized_v2 (same deck as 002),random_agent,200,0.865,exp005-search-agent,"53.0% head-to-head vs exp002 agent; 1-ply search_begin/search_step lookahead, near-even vs static heuristic"
2026-07-07,006-eval-harness,agents.heuristic_v2_agent,optimized_v2 (unchanged),random_agent,200,0.88,(none -- tooling only),"Built local eval harness (src/evaluate_baseline.py) and froze baseline_423 snapshot; no agent/deck changes"
2026-07-07,007-retreat-fix,agents.heuristic_v2_agent (patched in place),optimized_v2 (unchanged),random_agent,200,0.92,exp007-retreat-fix,"Retreat-when-critical + healthiest-switch added directly to the baseline agent, per loss_summary.md's top loss pattern (prize_race, 50% of losses); 53.5% head-to-head vs frozen baseline_423"
2026-07-07,008-targz-packaging,agents.heuristic_v2_agent (identical to 007),optimized_v2 (unchanged),n/a,n/a,n/a,exp008-targz-retest,"Not a strategy change -- repackaged exp007's exact agent+deck as .tar.gz instead of .zip per a competitor's public repo documenting the expected submission format; confounded test given known matchmaking-luck variance, but cheap to rule out"
2026-07-07,009-evolution-deck,agents.heuristic_v2_agent (unchanged),evolution_water 4-lines (best variant tried),random_agent,100,0.72,(not submitted),"Motivated by exp007 replay analysis showing real opponents use evolved Tool-equipped Pokemon; best variant (Water, 4 lines) reaches 49% vs the old Basic-only deck but doesn't clearly beat it -- mixed/negative result, see reports/009_evolution_deck.md for the Pokemon-count vs energy-count tradeoff found"
2026-07-07,010-attack-sequencing,agents.heuristic_v2_agent (patched in place),optimized_v2 (unchanged),random_agent,200,0.97,exp010-attack-sequencing (x2, both active slots),"Largest single-change gain in the project: non-lethal ATTACK was scored above all setup actions (ATTACH/EVOLVE/PLAY/ABILITY), so the agent ended its own turn early ~45% of the time instead of using free setup actions first. Fixed the ordering; 70.0% head-to-head vs exp007 (pre-fix), far above the 53-57% seen from every earlier tweak. Submitted to both active slots per the new submission policy."
2026-07-07,011-meta-deck,agents.heuristic_v2_agent (exp010, unchanged),meta_v1 (real deck extracted from official top-episode dataset),random_agent,150,0.847,(not submitted yet),"Deck pulled directly from Kaggle's CC0 top-episode dataset instead of hand-derived; 18 distinct cards incl. a 3-stage evolution line + 4 Supporters + 5 Items + Tool + Stadium, vs prior decks' ~9 cards with no evolution/Tool/Stadium. vs-random (84.7%) is lower than optimized_v2's 97%, but head-to-head same-agent comparison is decisive: meta deck beats optimized_v2 72-28%. Holding submission until agent gets dedicated logic for Supporter/Tool/Stadium options this deck actually uses, per reports/011_meta_deck.md."
2026-07-07,012-gust-tool-targeting,agents.heuristic_v2_agent (patched: attach+gust targeting; damage-targeting tried and reverted),meta_v1 (unchanged),random_agent,200,0.805,(not submitted yet),"Added gust-target (Boss's-Orders-style) and attach-target scoring per Discussion 721338; a third addition (damage-target: prefer opponent's lowest-HP Pokemon) was clearly negative (39.3%, confirmed not noise) and was removed. Attach+gust alone: 52.0% vs pre-change agent at n=300 -- statistically neutral, not a validated win, kept only as principled/harmless. Re-confirms meta_v1 beats optimized_v2 73.0% head-to-head with this updated agent (matches exp011's 72.0% with the prior agent) -- the deck remains the strongest lever found."
